Denominacao - GBS,,n_bag,,nome,TA (teor de amilose) Goiania 2004,TA Goiania 2005,TA Uruguaiana,TA Boa Vista,TA Pelotas 2005,TA Vilhena
81,TERRAS ALTAS,CNA3375,BGA 3375,IRAT 13,20,20,17,22,20,24
82,TERRAS ALTAS,CNA3395,BGA 3395,IRAT 141,21,18,19,22,19,22
83,TERRAS ALTAS,CNA3397,BGA 3397,IRAT 144,18,17,18,18,18,20
84,TERRAS ALTAS,CNA3403,BGA 3403,TO X 490-3-108-D1-B-B,,27,22,24,22,21
90,TERRAS ALTAS,CNA3490,BGA 3490,TOM 1-3,26,26,,26,26,25
97,TERRAS ALTAS,CNA4078,BGA 4078,UPR 82-1-7,23,22,21,22,20,21
98,TERRAS ALTAS,CNA4098,BGA 4098,CNA 511-12-B-5,17,17,18,18,17,19
99,TERRAS ALTAS,CNA4120,BGA 4120,CNA 092-BM10-BM27P-3,22,27,17,20,21,23
100,TERRAS ALTAS,CNA4121,BGA 4121,CNA 095-BM30-BM9-28,27,24,25,23,22,25
101,TERRAS ALTAS,CNA4141,BGA 4141,CNA 511-12-B-2,21,23,19,24,22,
102,TERRAS ALTAS,CNA4168,BGA 4168,L80-68,27,25,23,23,25,
103,TERRAS ALTAS,CNA4172,BGA 4172,CNA 511-12-B-4,23,19,,21,,
104,TERRAS ALTAS,CNA4193,BGA 4193,IREM 656,24,25,24,24,22,27
105,TERRAS ALTAS,CNA4206,BGA 4206,CNA 108-B28-13-1,25,23,22,26,23,25
106,TERRAS ALTAS,CNA4243,BGA 4243,OR 63-252,30,28,26,29,25,27
108,TERRAS ALTAS,CNA4428,BGA 4428,Nﾺ 7384 CRUZ RPL X DANIELA,26,24,23,23,23,
636,TERRAS ALTAS,CNA4463,BGA 4463,N.7441 [CA 435 X T.CHUEN 2],21,18,18,19,17,21
109,TERRAS ALTAS,CNA4480,BGA 4480,IRAT 124,24,27,24,28,25,28
111,TERRAS ALTAS,CNA4487,BGA 4487,MAKOUTA,23,27,21,24,23,24
112,TERRAS ALTAS,CNA4543,BGA 4543,TOX 1012-12-3-1,24,25,24,25,23,27
117,TERRAS ALTAS,CNA4617,BGA 4617,TOX 1011-4-2,24,23,20,21,20,25
120,TERRAS ALTAS,CNA4640,BGA 4640,TOX 1785-19-18,16,17,16,19,,
121,TERRAS ALTAS,CNA4697,BGA 4697,Nﾺ 2583,11,14,,10,,
122,TERRAS ALTAS,CNA4748,BGA 4748,CNA 104-B-2-43-2,27,25,24,27,25,23
123,TERRAS ALTAS,CNA4752,BGA 4752,IRAT 122,26,24,24,23,23,25
124,TERRAS ALTAS,CNA4759,BGA 4759,TOX 514-16-101-1,24,25,28,26,28,27
125,TERRAS ALTAS,CNA4788,BGA 4788,TOX 503-4-115-B-B,23,26,24,26,24,25
126,TERRAS ALTAS,CNA4796,BGA 4796,TOX 516-28-106-D2-B-B,21,24,,24,23,24
6,TERRAS ALTAS,CNA482,BGA 482,BLUEBONNET,23,24,23,22,24,
131,TERRAS ALTAS,CNA5180,BGA 5180,CNA 539-23-B-4,27,23,22,22,23,26
132,TERRAS ALTAS,CNA5277,BGA 5277,TOX 1858-114,27,25,26,25,27,26
134,TERRAS ALTAS,CNA5326,BGA 5326,TOX 1780-8-5,17,17,17,27,,
135,TERRAS ALTAS,CNA5334,BGA 5334,TOX 1871-29,19,20,,22,19,21
136,TERRAS ALTAS,CNA5342,BGA 5342,IRAT 216,18,18,18,19,18,19
137,TERRAS ALTAS,CNA5358,BGA 5358-2,TOX 1858-101,26,25,,26,26,25
140,TERRAS ALTAS,CNA5461,BGA 5461,CO 18,26,27,,30,,
141,TERRAS ALTAS,CNA5462,BGA 5462,MTU 15,27,27,,29,,
142,TERRAS ALTAS,CNA5465,BGA 5465,W 1253,26,24,,26,,
145,TERRAS ALTAS,CNA5650,BGA 5650,IPEACO 11-P,24,24,23,23,25,24
146,TERRAS ALTAS,CNA5660,BGA 5660,IPEACO 77-P,23,26,23,25,25,27
147,TERRAS ALTAS,CNA5672,BGA 5672,L 82-192,26,25,22,23,22,26
148,TERRAS ALTAS,CNA5673,BGA 5673,IAC 81-176,24,25,22,25,25,28
150,TERRAS ALTAS,CNA5901,BGA 5901,IAC 84-198,26,25,24,20,23,25
151,TERRAS ALTAS,CNA5970,BGA 5970,FAROX 299,21,22,20,23,21,25
153,TERRAS ALTAS,CNA5972,BGA 5972,FAROX 301,24,23,23,25,23,22
154,TERRAS ALTAS,CNA5975,BGA 5975,IDSA 6,20,18,18,16,,
155,TERRAS ALTAS,CNA5994,BGA 5994,TOX 995-208-1-101,16,17,16,20,18,19
156,TERRAS ALTAS,CNA6030,BGA 6030,PADI SENEMOK,10,9,,8,,
157,TERRAS ALTAS,CNA6034,BGA 6034,ITA 150,24,24,23,23,24,27
158,TERRAS ALTAS,CNA6035,BGA 6035,ITA 225,22,24,,23,22,25
161,TERRAS ALTAS,CNA6170,BGA 6170,LS 85-125,26,23,,21,25,25
162,TERRAS ALTAS,CNA6174,BGA 6174,LS 85-158,26,24,17,22,23,27
163,TERRAS ALTAS,CNA6187,BGA 6187,"CNAX-782-28-2-1,660018",26,25,22,24,25,26
166,TERRAS ALTAS,CNA6406,BGA 6406,LS 86-68,,23,24,24,22,25
167,TERRAS ALTAS,CNA6413,BGA 6413,IAPAR L 85-20,26,23,23,23,24,27
168,TERRAS ALTAS,CNA6422,BGA 6422,IAPAR L 99-98,28,26,,28,28,28
171,TERRAS ALTAS,CNA6572,BGA 6572,IREM 195,21,23,23,23,24,27
172,TERRAS ALTAS,CNA6574,BGA 6574,IRAT 112,27,25,23,22,23,26
173,TERRAS ALTAS,CNA6666,BGA 6666,A12-286-1-1,20,25,22,22,23,24
174,TERRAS ALTAS,CNA6672,BGA 6672,A8-204-1-1,25,26,25,28,25,25
